datetime,layer,tp,date,ditt,dt
2016-05-17 18:00:00,epi,52.2573210412148,2016-05-17 18:00:00,5 days 06:00:00,3312.0
2016-05-23 00:00:00,epi,52.2573210412148,2016-05-23 00:00:00,5 days 06:00:00,456912.0
2016-06-07 00:00:00,epi,42.97441548,2016-06-07 00:00:00,20 days 06:00:00,1752912.0
2016-06-20 00:00:00,epi,24.3876964354159,2016-06-20 00:00:00,33 days 06:00:00,2876112.0
2016-07-05 00:00:00,epi,30.9506995,2016-07-05 00:00:00,48 days 06:00:00,4172112.0
2016-07-18 00:00:00,epi,22.8061517822921,2016-07-18 00:00:00,61 days 06:00:00,5295312.0
2016-08-01 00:00:00,epi,18.8625431199693,2016-08-01 00:00:00,75 days 06:00:00,6504912.0
2016-08-15 00:00:00,epi,15.6013192612137,2016-08-15 00:00:00,89 days 06:00:00,7714512.0
2016-08-30 00:00:00,epi,43.542656112577,2016-08-30 00:00:00,104 days 06:00:00,9010512.0
2016-10-04 00:00:00,epi,117.043224299065,2016-10-04 00:00:00,139 days 06:00:00,12034512.0
2016-11-09 00:00:00,epi,91.5372476931949,2016-11-09 00:00:00,175 days 06:00:00,15144912.0
2017-04-17 00:00:00,epi,99.8667437051454,2017-04-17 00:00:00,334 days 06:00:00,28882512.0
2017-05-15 00:00:00,epi,72.2531621310847,2017-05-15 00:00:00,362 days 06:00:00,31301712.0
2017-05-30 00:00:00,epi,92.1073499747857,2017-05-30 00:00:00,377 days 06:00:00,32597712.0
2017-06-12 00:00:00,epi,70.9961400169205,2017-06-12 00:00:00,390 days 06:00:00,33720912.0
2017-06-26 00:00:00,epi,66.3096586560539,2017-06-26 00:00:00,404 days 06:00:00,34930512.0
2017-07-10 00:00:00,epi,50.6910729991205,2017-07-10 00:00:00,418 days 06:00:00,36140112.0
2017-07-24 00:00:00,epi,46.0,2017-07-24 00:00:00,432 days 06:00:00,37349712.0
2017-08-07 00:00:00,epi,41.4134411236322,2017-08-07 00:00:00,446 days 06:00:00,38559312.0
2017-08-23 00:00:00,epi,32.8451706719731,2017-08-23 00:00:00,462 days 06:00:00,39941712.0
2017-09-06 00:00:00,epi,42.9817894447499,2017-09-06 00:00:00,476 days 06:00:00,41151312.0
2017-09-25 00:00:00,epi,23.7116974494283,2017-09-25 00:00:00,495 days 06:00:00,42792912.0
2017-10-04 00:00:00,epi,181.757009345794,2017-10-04 00:00:00,504 days 06:00:00,43570512.0
2018-05-07 00:00:00,epi,96.61171367,2018-05-07 00:00:00,719 days 06:00:00,62146512.0
2018-05-14 00:00:00,epi,102.194992242365,2018-05-14 00:00:00,726 days 06:00:00,62751312.0
2018-05-29 00:00:00,epi,81.96407767,2018-05-29 00:00:00,741 days 06:00:00,64047312.0
2018-06-11 00:00:00,epi,68.4774774774775,2018-06-11 00:00:00,754 days 06:00:00,65170512.0
2018-06-25 00:00:00,epi,70.35332064,2018-06-25 00:00:00,768 days 06:00:00,66380112.0
2018-07-09 00:00:00,epi,37.9225359560068,2018-07-09 00:00:00,782 days 06:00:00,67589712.0
2018-07-23 00:00:00,epi,38.6418147208122,2018-07-23 00:00:00,796 days 06:00:00,68799312.0
2018-08-06 00:00:00,epi,22.9893637408969,2018-08-06 00:00:00,810 days 06:00:00,70008912.0
2018-08-22 00:00:00,epi,24.8220756376429,2018-08-22 00:00:00,826 days 06:00:00,71391312.0
2018-09-04 00:00:00,epi,27.2398416886544,2018-09-04 00:00:00,839 days 06:00:00,72514512.0
2018-09-19 00:00:00,epi,32.22075638,2018-09-19 00:00:00,854 days 06:00:00,73810512.0
2018-10-02 00:00:00,epi,113.884326200116,2018-10-02 00:00:00,867 days 06:00:00,74933712.0
2018-10-18 00:00:00,epi,82.7611852201629,2018-10-18 00:00:00,883 days 06:00:00,76316112.0
